Date,Open,High,Low,Close,Adj Close,Volume
2000-03-31,51.84375,52.9375,51.5625,52.9375,38.446109771728516,3200
2000-04-03,52.625,52.75,50.0,51.25,37.220550537109375,5600
2000-04-04,51.75,52.125,50.0,52.0,37.76523971557617,16300
2000-04-05,52.0,52.25,50.0,51.9375,37.719852447509766,9900
2000-04-06,51.375,52.0,50.75,51.875,37.674468994140625,2100
2000-04-07,50.375,51.9375,50.0,50.25,36.49431228637695,3500
2000-04-10,51.09375,52.0,49.0,50.5,36.67586898803711,43300
2000-04-11,50.5,50.5,49.3125,50.125,36.40353012084961,4200
2000-04-12,50.0,51.75,49.625,50.0,36.3127326965332,3400
2000-04-13,50.0,51.75,48.0,49.0625,35.63187026977539,7600
2000-04-14,50.0,50.0,48.5,48.875,35.495704650878906,5400
2000-04-17,50.375,51.25,48.125,50.25,36.49431228637695,5100
2000-04-18,50.75,51.375,49.0,49.0,35.58647918701172,5500
2000-04-19,51.75,51.75,50.0,50.0,36.3127326965332,2800
2000-04-20,51.4375,51.4375,49.25,50.125,36.40353012084961,5600
2000-04-24,51.125,51.4375,51.0,51.4375,37.35672378540039,1700
2000-04-25,49.5,51.5,49.5,51.5,37.40211486816406,5900
2000-04-26,51.75,51.75,49.5,51.25,37.220550537109375,5300
2000-04-27,49.625,51.0,49.625,51.0,37.03900146484375,1800
2000-04-28,50.0,51.0,50.0,51.0,37.03900146484375,32400
2000-05-01,49.6875,50.5,49.0,50.0,36.3127326965332,6700
2000-05-02,50.6875,50.6875,49.125,50.0,36.3127326965332,3000
2000-05-03,49.25,50.5,49.0,50.359375,36.573753356933594,3300
2000-05-04,49.25,50.375,49.25,50.0,36.3127326965332,4000
2000-05-05,50.375,50.375,50.0,50.0,36.3127326965332,3900
2000-05-08,50.25,50.25,49.9375,49.9375,36.26734924316406,1800
2000-05-09,50.0625,50.25,49.6875,50.25,36.49431228637695,13800
2000-05-10,50.25,50.25,46.5,46.5,33.77083969116211,11400
2000-05-11,49.4375,50.0,48.0,50.0,36.3127326965332,5100
2000-05-12,48.0,50.375,48.0,49.25,35.76805877685547,8500
2000-05-15,49.0,49.0,45.25,46.6875,33.90702819824219,6300
2000-05-16,46.3125,50.0,45.0,50.0,36.3127326965332,7100
2000-05-17,49.9375,50.0,48.0,50.0,36.49520492553711,2800
2000-05-18,50.0,50.0,48.0,48.5,35.40034484863281,2200
2000-05-19,48.5,49.5,48.0,49.5,36.130252838134766,2600
2000-05-22,48.875,49.75,48.0,49.5,36.130252838134766,1400
2000-05-23,48.5,49.5,48.5,49.0,35.765296936035156,7400
2000-05-24,49.0,49.5,48.875,49.5,36.130252838134766,7200
2000-05-25,49.75,49.75,48.96875,49.125,35.85654830932617,7700
2000-05-26,49.0,49.125,48.9375,49.125,35.85654830932617,11600
