Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,392.30767822265625,394.0705261230469,382.53204345703125,384.6153869628906,211.4683837890625,2869074
2000-01-04,377.5641174316406,379.4871826171875,369.23077392578125,369.23077392578125,203.00973510742188,2875782
2000-01-05,368.5897521972656,376.9230651855469,365.54486083984375,368.5897521972656,202.65725708007812,3548064
2000-01-06,366.9871826171875,376.7628173828125,365.70513916015625,373.51763916015625,205.36669921875,2583516
2000-01-07,379.4871826171875,389.4230651855469,376.9230651855469,387.98077392578125,213.31884765625,2618382
2000-01-10,391.50640869140625,395.03204345703125,387.5,387.8205261230469,213.23062133789062,1979445
2000-01-11,387.1794738769531,391.50640869140625,386.21795654296875,388.4615478515625,213.5830535888672,1965990
2000-01-12,387.3397521972656,392.94873046875,386.05767822265625,389.74359130859375,214.28799438476562,2384499
2000-01-13,392.6282043457031,397.275634765625,392.30767822265625,394.23077392578125,216.75506591796875,1943955
2000-01-14,393.26922607421875,396.474365234375,383.49359130859375,387.1794738769531,212.87811279296875,2402439
2000-01-18,383.6538391113281,383.6538391113281,376.28204345703125,379.4871826171875,208.6488800048828,2378571
2000-01-19,375.6410217285156,387.01922607421875,375.0,381.33013916015625,209.66212463378906,1930461
2000-01-20,382.2115478515625,383.974365234375,365.70513916015625,374.19873046875,205.74107360839844,3998670
2000-01-21,379.3269348144531,380.1282043457031,369.0705261230469,369.55126953125,203.1859588623047,3120702
2000-01-24,372.5961608886719,374.19873046875,349.8397521972656,354.1666564941406,194.72714233398438,3525093
2000-01-25,354.00640869140625,359.9358825683594,351.28204345703125,355.1282043457031,195.255859375,3300375
2000-01-26,360.25640869140625,364.5833435058594,356.0897521972656,362.6602478027344,199.39706420898438,2061384
2000-01-27,362.98077392578125,363.4615478515625,351.44232177734375,363.4615478515625,199.8377227783203,2501655
2000-01-28,359.775634765625,360.25640869140625,342.6282043457031,343.5897521972656,188.91180419921875,3880071
2000-01-31,343.5897521972656,348.55767822265625,341.1858825683594,343.5897521972656,188.91180419921875,2831751
2000-02-01,344.23077392578125,351.28204345703125,343.5897521972656,348.71795654296875,191.73143005371094,3554070
2000-02-02,351.6025695800781,352.8846130371094,343.75,343.75,188.99989318847656,2836626
2000-02-03,348.55767822265625,358.49359130859375,346.79486083984375,357.05126953125,196.3132781982422,2630160
2000-02-04,361.5384521484375,366.9871826171875,360.25640869140625,362.98077392578125,199.57334899902344,2361723
